set_0_loss,set_0_r2,set_1_loss,set_1_r2,set_2_loss,set_2_r2
2.1258702278137207,-inf,2.0486221313476562,-inf,2.1463377475738525,-inf
1.585709810256958,-inf,1.5766102075576782,-inf,1.6142555475234985,-inf
1.4496046304702759,-inf,1.4634462594985962,-inf,1.4762598276138306,-inf
1.3605848550796509,-inf,1.3770321607589722,-inf,1.3784648180007935,-inf
1.2789655923843384,-inf,1.2836798429489136,-inf,1.2838188409805298,-inf
1.2163387537002563,-inf,1.2361513376235962,-inf,1.2202892303466797,-inf
1.1629704236984253,-inf,1.1954857110977173,-inf,1.1632837057113647,-inf
1.103454828262329,-inf,1.1315250396728516,-inf,1.107669711112976,-inf
1.0826811790466309,-inf,1.091399073600769,-inf,1.065880537033081,-inf
1.0454792976379395,-inf,1.055249810218811,-inf,1.046852946281433,-inf
1.0194064378738403,-inf,1.048462152481079,-inf,1.0235562324523926,-inf
1.0077424049377441,-inf,1.025633692741394,-inf,1.0106502771377563,-inf
0.9831954836845398,-inf,1.012019395828247,-inf,0.9981898665428162,-inf
0.9765003323554993,-inf,0.9974167943000793,-inf,0.9898681640625,-inf
0.9623922109603882,-inf,0.9894149303436279,-inf,0.9802426695823669,-inf
0.9708759188652039,-inf,0.9852386116981506,-inf,0.9777517914772034,-inf
0.9490020871162415,-inf,0.9743466377258301,-inf,0.9661221504211426,-inf
0.9491948485374451,-inf,0.9660064578056335,-inf,0.9556542634963989,-inf
0.94810950756073,-inf,0.9626761674880981,-inf,0.9436734914779663,-inf
0.9348779320716858,-inf,0.9653588533401489,-inf,0.9505167603492737,-inf
0.9355261921882629,-inf,0.9617921113967896,-inf,0.9428995251655579,-inf
0.9301853775978088,-inf,0.9496896266937256,-inf,0.9345269203186035,-inf
0.9195044040679932,-inf,0.9452552795410156,-inf,0.9189426302909851,-inf
0.9149936437606812,-inf,0.9430394172668457,-inf,0.9155539274215698,-inf
0.9113945960998535,-inf,0.9411545991897583,-inf,0.9227685332298279,-inf
0.9140650033950806,-inf,0.9395633339881897,-inf,0.9171398878097534,-inf
0.9050977826118469,-inf,0.9364809393882751,-inf,0.9216375946998596,-inf
0.9080619812011719,-inf,0.9276621341705322,-inf,0.9230744242668152,-inf
0.9059545993804932,-inf,0.934654951095581,-inf,0.9147050976753235,-inf
0.9023638963699341,-inf,0.9271608591079712,-inf,0.9121660590171814,-inf
0.905190646648407,-inf,0.9248859286308289,-inf,0.9059059619903564,-inf
0.8947700262069702,-inf,0.921211302280426,-inf,0.9055704474449158,-inf
0.8890177011489868,-inf,0.920051634311676,-inf,0.9088762402534485,-inf
0.8941969871520996,-inf,0.9220213294029236,-inf,0.8931463360786438,-inf
0.8831165432929993,-inf,0.9117507338523865,-inf,0.9007231593132019,-inf
0.8828104734420776,-inf,0.9228178262710571,-inf,0.9042053818702698,-inf
0.8776155114173889,-inf,0.911607027053833,-inf,0.8876737952232361,-inf
0.8822009563446045,-inf,0.909329354763031,-inf,0.8889061212539673,-inf
0.8736578822135925,-inf,0.9157216548919678,-inf,0.8885207176208496,-inf
0.8831614255905151,-inf,0.9225047826766968,-inf,0.8968119621276855,-inf
0.876184344291687,-inf,0.91126948595047,-inf,0.8825899958610535,-inf
0.880094587802887,-inf,0.9086912870407104,-inf,0.8893571496009827,-inf
0.8807817697525024,-inf,0.9120500683784485,-inf,0.8816332817077637,-inf
0.8771082758903503,-inf,0.900887131690979,-inf,0.8822020888328552,-inf
0.8734129667282104,-inf,0.9064344167709351,-inf,0.8873260021209717,-inf
0.8758773803710938,-inf,0.8950405716896057,-inf,0.8778810501098633,-inf
0.8815096020698547,-inf,0.9027442336082458,-inf,0.8789793848991394,-inf
0.8786232471466064,-inf,0.9016740322113037,-inf,0.8841761946678162,-inf
0.8744881749153137,-inf,0.9053411483764648,-inf,0.8806349039077759,-inf
0.8647374510765076,-inf,0.8956131935119629,-inf,0.8777946829795837,-inf
0.8555380702018738,-inf,0.9046144485473633,-inf,0.8759217858314514,-inf
0.8651283979415894,-inf,0.8937354683876038,-inf,0.8697681427001953,-inf
0.8700608611106873,-inf,0.8919914960861206,-inf,0.8664349317550659,-inf
0.8598179817199707,-inf,0.8942664861679077,-inf,0.8606250286102295,-inf
0.8652516603469849,-inf,0.8789398670196533,-inf,0.8699877262115479,-inf
0.8607705235481262,-inf,0.8905973434448242,-inf,0.8641454577445984,-inf
0.8669778108596802,-inf,0.8938854932785034,-inf,0.8582485914230347,-inf
0.8624733686447144,-inf,0.8887127637863159,-inf,0.8666220307350159,-inf
0.8509764075279236,-inf,0.8900490403175354,-inf,0.8687244057655334,-inf
0.8513176441192627,-inf,0.8921523094177246,-inf,0.8704420924186707,-inf
0.8524327874183655,-inf,0.8945311903953552,-inf,0.8590976595878601,-inf
0.8521360754966736,-inf,0.8886191248893738,-inf,0.8697577714920044,-inf
0.8535985946655273,-inf,0.8889473676681519,-inf,0.8544399738311768,-inf
0.848481297492981,-inf,0.8896712064743042,-inf,0.8618968725204468,-inf
0.8569715619087219,-inf,0.8757093548774719,-inf,0.8609673380851746,-inf
0.8455111980438232,-inf,0.8834459781646729,-inf,0.8603490591049194,-inf
0.8515102863311768,-inf,0.8841067552566528,-inf,0.8579691648483276,-inf
0.8548707365989685,-inf,0.8865224123001099,-inf,0.8623530268669128,-inf
0.8461558222770691,-inf,0.8703376650810242,-inf,0.8577377796173096,-inf
0.8487415909767151,-inf,0.8787225484848022,-inf,0.8619626760482788,-inf
0.8560041785240173,-inf,0.8751814961433411,-inf,0.8617619872093201,-inf
0.8519657254219055,-inf,0.8791801929473877,-inf,0.8548423051834106,-inf
0.8383955359458923,-inf,0.8729469776153564,-inf,0.8605756163597107,-inf
0.8483251333236694,-inf,0.8731585741043091,-inf,0.8599656224250793,-inf
0.8383193612098694,-inf,0.8705393671989441,-inf,0.855891764163971,-inf
0.837091326713562,-inf,0.874917209148407,-inf,0.8491689562797546,-inf
0.8430480360984802,-inf,0.870424747467041,-inf,0.8498371243476868,-inf
0.8437361121177673,-inf,0.8688921332359314,-inf,0.848576545715332,-inf
0.8350264430046082,-inf,0.862121045589447,-inf,0.8488590121269226,-inf
0.856250524520874,-inf,0.8712162375450134,-inf,0.8547202944755554,-inf
0.838039219379425,-inf,0.8741533756256104,-inf,0.8453169465065002,-inf
0.8360257148742676,-inf,0.8701048493385315,-inf,0.846393883228302,-inf
0.8386870622634888,-inf,0.8641728758811951,-inf,0.8535181283950806,-inf
0.8359547257423401,-inf,0.8769785165786743,-inf,0.8462607264518738,-inf
0.8433781266212463,-inf,0.8676477670669556,-inf,0.8450396060943604,-inf
0.8336607813835144,-inf,0.8564035892486572,-inf,0.843790590763092,-inf
0.8304809331893921,-inf,0.8624603152275085,-inf,0.8498006463050842,-inf
0.8402627110481262,-inf,0.86553955078125,-inf,0.8460875749588013,-inf
0.8247432112693787,-inf,0.8735620975494385,-inf,0.8516273498535156,-inf
0.8336364030838013,-inf,0.8697048425674438,-inf,0.8322665691375732,-inf
0.8275017142295837,-inf,0.8584975004196167,-inf,0.8398578763008118,-inf
0.832528829574585,-inf,0.8584529757499695,-inf,0.8489393591880798,-inf
0.8239178657531738,-inf,0.8586686253547668,-inf,0.8412789106369019,-inf
0.8248610496520996,-inf,0.8655204176902771,-inf,0.8424015641212463,-inf
0.8301592469215393,-inf,0.860287070274353,-inf,0.841484010219574,-inf
0.8317435383796692,-inf,0.8592948317527771,-inf,0.8314558863639832,-inf
0.8263573050498962,-inf,0.8598568439483643,-inf,0.8352305293083191,-inf
0.8220169544219971,-inf,0.8603532910346985,-inf,0.8312097787857056,-inf
0.828096330165863,-inf,0.8568657636642456,-inf,0.8319908380508423,-inf
0.8311437964439392,-inf,0.8539272546768188,-inf,0.8340621590614319,-inf
